TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX,RN_JUN
201501010000,108,29,6.1,32,16.0,2238,1011.6,1022.8,2,1.2,-6.9,-21.2,31.0,1.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.00,-9,-3.8,-2.7,-1.1,0.1,0.7,-9,-9.0,-9,3,2
201501010100,108,29,4.7,29,11.0,37,1011.8,1023.0,-9,-9.0,-7.4,-20.9,33.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,-9,-9.0,-9.00,-9,-4.5,-3.2,-1.3,0.1,0.8,-9,-9.0,-9,3,-9
201501010200,108,29,4.5,27,11.0,111,1011.7,1022.9,-9,-9.0,-8.0,-20.8,35.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,-9,-9,-,-9,-9,-9,-9,-9.0,-9.00,-9,-5.1,-3.7,-1.7,0.0,0.7,-9,-9.0,-9,3,-9
201501010300,108,29,3.8,32,16.0,2238,1012.1,1023.3,2,0.5,-8.4,-20.5,37.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.00,4,-5.5,-4.0,-1.9,0.0,0.7,-9,-9.0,-9,3,2
201501010400,108,29,4.9,32,10.0,312,1012.3,1023.6,-9,-9.0,-8.8,-21.5,35.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.00,-9,-5.9,-4.4,-2.2,0.0,0.7,-9,-9.0,-9,3,2
201501010500,108,29,5.7,27,11.0,450,1011.8,1023.1,-9,-9.0,-9.1,-21.7,35.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1800,-9.0,-9.00,-9,-6.3,-4.7,-2.4,0.0,0.7,-9,-9.0,-9,3,2
201501010600,108,29,5.3,27,12.0,510,1012.1,1023.4,0,0.1,-9.3,-21.6,36.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1600,-9.0,-9.00,-9,-6.6,-5.0,-2.6,0.0,0.7,-9,-9.0,-9,3,2
201501010700,108,29,4.5,27,10.0,639,1012.6,1023.9,-9,-9.0,-9.5,-21.2,38.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6,0,42,0,0,-9,-,-9,-9,-9,1600,-9.0,-9.00,-9,-6.8,-5.2,-2.8,-0.1,0.7,-9,-9.0,-9,3,1
201501010800,108,27,6.1,25,11.0,756,1013.1,1024.4,-9,-9.0,-9.8,-20.3,42.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6,0,42,0,0,-9,-,-9,-9,-9,1600,0.0,0.01,-9,-7.0,-5.4,-2.9,-0.2,0.7,-9,-9.0,-9,3,1
201501010900,108,29,5.1,27,12.0,510,1013.6,1024.9,2,1.5,-9.5,-20.3,41.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6,0,42,0,0,-9,-,-9,-9,-9,1800,0.8,0.28,4,-6.0,-4.9,-3.0,-0.3,0.7,-9,-9.0,-9,3,1
