TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX,RN_JUN
201701010000,108,2,2.2,-9,-9.0,-9,1018.8,1029.7,1,0.1,0.2,-3.0,79.0,4.9,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,5,22,40,7,7,8,Sc,0,0,5,491,-9.0,-9.00,-9,-0.9,0.1,0.3,1.7,2.6,-9,-9.0,-9,3,1
201701010100,108,2,1.4,-9,-9.0,-9,1018.9,1029.9,-9,-9.0,0.0,-3.3,78.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,4,7,-,-9,-9,-9,549,-9.0,-9.00,-9,-0.9,0.0,0.3,1.7,2.6,-9,-9.0,-9,3,-9
201701010200,108,5,1.9,-9,-9.0,-9,1018.5,1029.4,-9,-9.0,-0.3,-3.1,81.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,4019,-9,1,8,-,-9,-9,-9,483,-9.0,-9.00,-9,-1.8,0.0,0.3,1.7,2.6,-9,-9.0,-9,3,-9
201701010300,108,5,2.0,-9,-9.0,-9,1018.8,1029.8,0,0.1,-0.7,-3.0,84.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,436,-9.0,-9.00,-9,-2.1,0.0,0.3,1.7,2.7,-9,-9.0,-9,3,1
201701010400,108,2,1.6,-9,-9.0,-9,1018.6,1029.6,-9,-9.0,-1.1,-3.3,85.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,430,-9.0,-9.00,-9,-2.4,-0.1,0.4,1.7,2.6,-9,-9.0,-9,3,1
201701010500,108,5,1.4,-9,-9.0,-9,1018.3,1029.3,-9,-9.0,-1.4,-3.4,86.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,381,-9.0,-9.00,-9,-2.6,-0.2,0.4,1.7,2.6,-9,-9.0,-9,3,1
201701010600,108,2,1.6,-9,-9.0,-9,1018.1,1029.1,7,-0.7,-1.5,-3.3,87.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,3,3,7,Sc,0,0,5,365,-9.0,-9.00,-9,-2.7,-0.2,0.4,1.7,2.6,-9,-9.0,-9,3,1
201701010700,108,2,1.4,-9,-9.0,-9,1018.6,1029.6,-9,-9.0,-1.5,-3.3,87.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,7,Sc,0,0,5,368,-9.0,-9.00,-9,-2.2,-0.3,0.4,1.7,2.6,-9,-9.0,-9,3,1
201701010800,108,2,1.4,-9,-9.0,-9,1019.0,1030.0,-9,-9.0,-1.3,-3.1,87.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,10,Sc,0,0,5,355,0.0,0.01,-9,-1.8,-0.1,0.4,1.7,2.6,-9,-9.0,-9,3,1
201701010900,108,2,1.6,-9,-9.0,-9,1019.4,1030.4,2,1.3,-0.4,-2.9,83.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,9,9,10,Sc,0,0,5,384,0.0,0.16,-9,-0.2,0.0,0.4,1.7,2.6,-9,-9.0,-9,3,1
