TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX,RN_JUN
201601160500,108,11,2.2,-9,-9.0,-9,1011.8,1022.7,-9,-9.0,-1.4,-8.1,60.0,3.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,10,Sc,0,0,5,1300,-9.0,-9.00,-9,-2.2,-1.2,-0.4,0.6,1.2,-9,-9.0,-9,3,2
201601160600,108,11,1.7,-9,-9.0,-9,1012.0,1022.9,5,-0.3,-1.9,-8.4,61.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,10,Sc,0,0,5,1300,-9.0,-9.00,-9,-1.6,-1.6,-0.5,0.6,1.2,-9,-9.0,-9,3,2
201601160700,108,11,2.1,-9,-9.0,-9,1012.5,1023.4,-9,-9.0,-1.8,-8.7,59.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,10,Sc,0,0,5,1200,-9.0,-9.00,-9,-1.2,-1.1,-0.5,0.7,1.2,-9,-9.0,-9,3,2
201601160800,108,11,2.6,-9,-9.0,-9,1012.6,1023.5,-9,-9.0,-1.6,-9.0,57.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,10,Sc,0,0,5,1100,0.0,0.01,-9,-1.2,-0.9,-0.4,0.7,1.2,-9,-9.0,-9,3,2
201601160900,108,9,2.5,-9,-9.0,-9,1013.1,1024.0,2,1.1,-1.2,-9.1,55.0,3.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,8,8,10,Sc,0,0,5,900,0.0,0.11,4,-0.6,-0.7,-0.4,0.7,1.2,-9,-9.0,-9,3,1
201601161000,108,9,3.1,-9,-9.0,-9,1013.4,1024.3,-9,-9.0,-0.6,-8.3,56.0,3.3,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,70,77,4005,9,9,10,Sc,0,0,5,700,0.0,0.22,-9,0.0,-0.2,-0.4,0.7,1.2,-9,-9.0,-9,4,1
201601161100,108,9,3.8,-9,-9.0,-9,1013.7,1024.6,-9,-9.0,-0.2,-5.4,68.0,4.1,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,71,77,4005,9,9,9,Sc,0,0,5,500,0.0,0.36,-9,0.1,0.0,-0.3,0.7,1.2,-9,-9.0,-9,4,1
201601161200,108,9,3.6,-9,-9.0,-9,1012.9,1023.8,8,-0.2,-0.3,-3.0,82.0,4.9,0.1,0.1,0.1,-9.0,-9.0,-9.0,-9.0,71,77,401905,9,9,9,Sc,0,0,5,300,0.0,0.53,-9,1.1,0.1,-0.2,0.7,1.2,-9,-9.0,-9,4,1
201601161300,108,7,4.0,-9,-9.0,-9,1012.3,1023.1,-9,-9.0,1.1,-2.8,75.0,5.0,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,70,77,1905,9,9,10,Sc,0,0,5,500,0.0,0.95,-9,3.0,0.4,-0.2,0.7,1.2,-9,-9.0,-9,4,1
201601161400,108,9,3.3,-9,-9.0,-9,1011.7,1022.5,-9,-9.0,1.7,-2.8,72.0,5.0,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,70,77,1905,8,8,10,Sc,0,0,5,500,0.0,0.78,-9,3.8,0.5,-0.2,0.7,1.2,-9,-9.0,-9,4,1
